time="2016-03-31T19:20:54-07:00" level=error msg="Includes not correct in ../testdata/domains.pre-configured.blacklist.conf\n\tGot: [adsrvr.org adtechus.net advertising.com centade.com doubleclick.net free-counter.co.uk intellitxt.com kiosked.com]\n\tWant: [broken.adsrvr.org broken.adtechus.net broken.advertising.com broken.centade.com broken.doubleclick.net broken.free-counter.co.uk broken.intellitxt.com broken.kiosked.com]" 
time="2016-03-31T19:20:54-07:00" level=error msg="Includes not correct in ../testdata/hosts.pre-configured.blacklist.conf\n\tGot: [beap.gemini.yahoo.com]\n\tWant: [broken.beap.gemini.yahoo.com broken.beap.gemini.msn.com]" 
time="2016-03-31T19:20:54-07:00" level=error msg="utils.GetFile(../testdata/domains.--BROKEN--.blacklist.conf): open ../testdata/domains.--BROKEN--.blacklist.conf: no such file or directory" 
time="2016-03-31T19:20:54-07:00" level=error msg="Includes not correct in ../testdata/domains.--BROKEN--.blacklist.conf\n\tGot: []\n\tWant: [adsrvr.org adtechus.net advertising.com centade.com doubleclick.net free-counter.co.uk intellitxt.com kiosked.com]" 
time="2016-03-31T19:20:54-07:00" level=error msg="utils.GetFile(../testdata/hosts.--BROKEN--.blacklist.conf): open ../testdata/hosts.--BROKEN--.blacklist.conf: no such file or directory" 
time="2016-03-31T19:20:54-07:00" level=error msg="Includes not correct in ../testdata/hosts.--BROKEN--.blacklist.conf\n\tGot: []\n\tWant: [beap.gemini.yahoo.com]" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry a1444.g.akamai.net, in ../testdata/hosts.volkerschatz.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry a248.e.akamai.net, in ../testdata/hosts.volkerschatz.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ecx.images-amazon.com, in ../testdata/hosts.volkerschatz.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry i1.ytimg.com, in ../testdata/hosts.volkerschatz.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry yieldmanager.edgesuite.net, in ../testdata/hosts.volkerschatz.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry 1105governmentinformationgroup.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry 192.168.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry 4.afs.googleadservices.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry 79423.analytics.edgesuite.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ac.ybinst0.ec.yimg.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ac.ybinst1.ec.yimg.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ac.ybinst2.ec.yimg.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ac.ybinst3.ec.yimg.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ac.ybinst4.ec.yimg.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ac.ybinst5.ec.yimg.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ac.ybinst6.ec.yimg.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ac.ybinst7.ec.yimg.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ac.ybinst8.ec.yimg.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ac.ybinst9.ec.yimg.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry adinterax.cnet.com.edgesuite.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ads-a-darwin.hulu.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ads-v-darwin.hulu.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ads.bridgetrack.com.edgesuite.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry ads.hulu.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry adtago.s3.amazonaws.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry advertisingcom.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry advice-ads.s3.amazonaws.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry albanytimesunion.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry amazonmerchants.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry amazonshopbop.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry amznshopbop.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolbks.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolcamember.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolcg.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolcmp.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolcommem.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolcommvid.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolcsmen.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
